"179,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",1,1,0"
"212,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",191000,111,0"
"213,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",175000,103,0"
"214,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",235000,142,0"
"215,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",126000,98,0"
"216,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",84700,64,0"
"217,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",179000,113,0"
"218,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",261000,157,0"
"219,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",1,1,0"
"220,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",131000,80,0"
"221,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",93500,71,0"
"222,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",92800,66,0"
"223,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",122000,93,0"
"224,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",82500,64,0"
"225,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",195000,118,0"
"226,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",195000,115,0"
"227,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",253000,145,0"
"228,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",113000,79,0"
"229,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",1,1,0"
"230,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",65800,47,0"
"231,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",116000,73,0"
"232,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",24800,28,0"
"233,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",43100,48,0"
"234,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",182000,113,0"
"235,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",139000,86,0"
"236,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",193000,114,0"
"237,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",94700,73,0"
"238,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",66000,47,0"
"239,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",1,1,0"
"240,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",69000,49,0"
"241,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",49400,46,0"
"242,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",103000,77,0"
"243,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",176000,107,0"
"244,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",93900,59,0"
"245,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",176000,103,0"
"246,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",93600,67,0"
"247,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",117000,72,0"
"248,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",67500,47,0"
"249,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",1,1,0"
"250,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",100000,71,0"
"251,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",72600,63,0"
"252,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",207000,127,0"
"253,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",176000,108,0"
"254,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",234000,138,0"
"255,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",120000,86,0"
"256,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",25800,27,0"
"257,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",47100,40,0"
"258,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",97600,66,0"
"259,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",1,1,0"
"260,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",1,1,0"
"261,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",217000,136,0"
"262,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",166000,105,0"
"263,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",195000,119,0"
"264,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",130000,96,0"
"265,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",82000,62,0"
"266,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",46900,46,0"
"267,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",107000,74,0"
"268,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",78400,65,0"
"269,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",214000,138,0"
"270,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",1,1,0"
"271,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",246000,153,0"
"272,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",343000,198,0"
"273,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",84700,63,0"
"274,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",195000,117,0"
"275,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",182000,111,0"
"276,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",175000,107,0"
"277,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",211000,132,0"
"278,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",160000,106,0"
"279,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",246000,152,0"
"280,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",1,1,0"
"281,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",152000,97,0"
"282,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",180000,113,0"
"283,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",196000,115,0"
"284,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",138000,84,0"
"285,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",94300,59,0"
"286,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",179000,114,0"
"287,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",188000,119,0"
"288,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",343000,197,0"
"289,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",152000,98,0"
"290,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",1,1,0"
"291,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",261000,156,0"
"292,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",252000,143,0"
"293,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",191000,111,0"
"294,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",175000,103,0"
"295,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",235000,142,0"
"296,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",126000,98,0"
"297,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",84700,64,0"
"298,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",179000,113,0"
"299,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",261000,157,0"
"300,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",1,1,0"
"301,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",131000,80,0"
"302,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",93500,71,0"
"303,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",92800,66,0"
"304,""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",122000,93,0"
"305,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",82500,64,0"
"306,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",195000,118,0"
"307,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",195000,115,0"
"308,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",253000,145,0"
"309,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",113000,79,0"
"310,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",1,1,0"
"311,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",65800,47,0"
"312,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",116000,73,0"
"313,""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",24800,28,0"
"314,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",43100,48,0"
"315,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",182000,113,0"
"316,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",139000,86,0"
"317,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",193000,114,0"
"318,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",94700,73,0"
"319,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",66000,47,0"
"320,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",1,1,0"
"321,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",69000,49,0"
"322,""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",49400,46,0"
"323,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",103000,77,0"
"324,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",176000,107,0"
"325,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",93900,59,0"
"326,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",176000,103,0"
"327,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",93600,67,0"
"328,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",117000,72,0"
"329,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",67500,47,0"
"330,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",1,1,0"
"331,""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",100000,71,0"
"332,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",72600,63,0"
"333,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",207000,127,0"
"334,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",176000,108,0"
"335,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",234000,138,0"
"336,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",120000,86,0"
"337,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",25800,27,0"
"338,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",47100,40,0"
"339,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",97600,66,0"
"340,""Zeugstraat 92, 2801 JD Gouda, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",1,1,0"
